Model Type,Test Loss,Accuracy,Precision,Recall,F1 Score
Odd Layer Distillation,0.38651901464553395,0.9182,0.9093023255813953,0.9305831019436731,0.9198196432072143
Even Layer Distillation,0.3766494981802193,0.9208,0.9207920792079208,0.9222530741769139,0.9215219976218787
LoRA,0.2087936048888287,0.9206,0.9164705882352941,0.9270130900436335,0.9217116939459673
